,,,,
관리번호,공원명,소재지지번주소,위도,경도
41220-00326,고덕 임주 어린이공원,경기도 평택시 고덕동 2128,37.0421774378,127.0492050477
41220-00327,고덕 누리봄 어린이공원,경기도 평택시 고덕동 2018,37.0466857364,127.0504668916
41220-00328,고덕 배우미 어린이공원,경기도 평택시 고덕동 1902-1,37.0523993448,127.0458438616
41220-00329,고덕 별밭 어린이공원,경기도 평택시 고덕동 1802,37.0637692658,127.0489052671
41220-00330,두렁이 어린이공원,경기도 평택시 고덕동 2380-6,37.0586141444,127.0292164364
41220-00331,당산 어린이공원,경기도 평택시 고덕동 2352-4,37.0555430700,127.0250627614
41220-00332,백로 어린이공원,경기도 평택시 고덕동 2343-6,37.0555137834,127.0228926251
41220-00333,고덕 어린이공원 43호,경기도 평택시 고덕면 해창리 490-2대,37.042464,127.014761
41220-00334,굼틀 어린이공원,경기도 평택시 고덕동 2412,37.0473089255,127.0302210265
41220-00335,소사벌 어린이공원,경기도 평택시 고덕면 율포리 376전,37.050300,127.034107
41220-00336,해찬솔 어린이공원,경기도 평택시 고덕동 2738-5,37.0313438556,127.031844
41220-00337,글당이 어린이공원,경기도 평택시 고덕동 2395-1,37.0560055367,127.0400801582
41220-00338,고덕 어린이공원 48호,경기도 평택시 고덕면 율포리 480답,37.049688,127.025091
41220-00339,송담8길 어린이공원(안중 송담지구),경기도 평택시 고덕면 율포리 106답,37.042946,127.042342
41220-00340,늘솔길 어린이공원,경기도 평택시 고덕동 2699-4,37.0360876939,127.023278
41220-00341,고덕 두레 어린이공원,경기도 평택시 고덕동 1894-5,37.0571180224,127.0466930829
41220-00342,고덕 한빛 어린이공원,경기도 평택시 고덕동 1856-2,37.0618409867,127.0488096388
41220-00343,건지 어린이공원,경기도 평택시 지산동 1136,37.077127,127.066247
41220-00344,광말 어린이공원,경기도 평택시 이충동 631,37.057816,127.063011
41220-00345,노루댕이 어린이공원(장당 3호),경기도 평택시 장당동 641-9,37.051757,127.064859
41220-00346,돌우물 어린이공원,경기도 평택시 이충동 676,37.058548,127.069157
41220-00347,동령 어린이공원,경기도 평택시 이충동 687,37.060955,127.069178
41220-00348,둥구재 어린이공원,경기도 평택시 서정동 845,37.066265,127.061203
41220-00349,신촌새빛 어린이공원,경기도 평택시 칠원동 393-4,37.026563,127.109632
41220-00296,수변공원 2호(고덕국제화지구 궁리),경기도 평택시 고덕면 궁리 303-2목,37.027408,127.033300
41220-00297,수변공원 3호(고덕국제화지구 해창리),경기도 평택시 고덕면 해창리 66답,37.030342,127.031781
41220-00298,수변공원 4호(고덕국제화지구 궁리),경기도 평택시 고덕면 궁리 310답,37.030414,127.033791
41220-00299,수변공원 5호(고덕국제화지구 좌교리),경기도 평택시 고덕동 2724-2,37.0335255496,127.0365477615
41220-00300,수변공원 6호(고덕국제화지구 여염리),경기도 평택시 고덕면 여염리 377답,37.035169,127.042966
41220-00301,수변공원 7호(고덕국제화지구 여염리),경기도 평택시 고덕동 2746-1,37.036833,127.0407259775
41220-00302,수변공원 8호(고덕국제화지구 율포리),경기도 평택시 고덕동 2744-1,37.0406713164,127.0434880190
41220-00303,수변공원 9호(고덕국제화지구 여염리),경기도 평택시 고덕동 2748-1,37.0402448818,127.0444506163
41220-00304,수변공원(브레인시티),경기도 평택시 도일동 983-7,37.048381,127.098853
41220-00305,수촌1 수변공원(수촌지구),경기도 평택시 칠원동 289-25,37.0199319257,127.1138949335
41220-00306,제1호 수변공원(가재지구 128호),경기도 평택시 가재동 479-1,37.042328,127.077653
41220-00307,제2호 수변공원(가재지구 129호),경기도 평택시 가재동 479-1,37.042328,127.077653
41220-00308,통복2 수변공원(수촌지구),경기도 평택시 칠원동 286,37.020802,127.113503
41220-00309,물장구 어린이공원(소사벌택지 10호),경기도 평택시 서정동 산110-4임,37.066367,127.048000
41220-00310,미로 어린이공원(서재지구 79호),경기도 평택시 고덕면 두릉리 529-1답,37.055543,127.017238
41220-00311,미리내 어린이공원(지제세교지구),경기도 평택시 고덕면 좌교리 399-1답,37.044118,127.013642
41220-00312,바다 어린이공원(현촌지구),경기도 평택시 고덕면 해창리 485-1장,37.041406,127.014060
41220-00313,방아다리 어린이공원(장당 2호),경기도 평택시 고덕면 해창리 437-1답,37.036903,127.017934
41220-00314,고덕 소나무 어린이공원,경기도 평택시 고덕동 2228-2,37.0376781436,127.0458931654
41220-00315,고덕 푸실 어린이공원,경기도 평택시 고덕동 2098,37.0433212044,127.0521540193
41220-00316,배당지 어린이공원(청북지구 택지개발),경기도 평택시 고덕면 율포리 334-2전,37.051333,127.041019
41220-00317,고덕 별똥밭 어린이공원,경기도 평택시 고덕동 1777-7,37.0636697735,127.0448386377
41220-00318,백로 어린이공원(청북지구 택지개발),경기도 평택시 서정동 617-7답,37.068493,127.047609
41220-00319,고덕 마루 어린이공원,경기도 평택시 고덕동 2213,37.0394128119,127.045056
41220-00320,물방개 어린이공원,경기도 평택시 고덕동 2458-2,37.045928,127.0314656149
41220-00321,혜윰 어린이공원,경기도 평택시 고덕동 2503-7,37.0405176631,127.0294403434
41220-00322,별솔 어린이공원,경기도 평택시 고덕동 2726-2,37.0320816575,127.0262909781
41220-00272,서연 소공원,경기도 평택시 서정동 1133,37.069739,127.061914
41220-00273,성두 소공원(고덕일반산업단지 소공원1),경기도 평택시 고덕동 1714-7,37.0344987522,127.0412992977
41220-00274,소공원 1호 (송원 현대재건축),경기도 평택시 독곡동 산69-3,37.084785,127.060812
41220-00275,수촌1 소공원(수촌지구),경기도 평택시 칠원동 440-3,37.021725,127.105338
41220-00276,신장 소공원,경기도 평택시 신장동 704,37.0859951004,127.054661
41220-00277,용우물 소공원(고덕일반산업단지 소공원3),경기도 평택시 고덕동 1701-4,37.0384308709,127.0497815449
41220-00278,임주 소공원(고덕일반산업단지 소공원2),경기도 평택시 고덕동 1715-4,37.0379849791,127.0491389849
41220-00279,장등2리 마을쉼터,경기도 평택시 서탄면 장등리 466-8,37.074458,127.023535
41220-00280,장등1리 마을쉼터,경기도 평택시 서탄면 장등리 451-9,37.073978,127.025434
41220-00281,제5호 소공원(진위역),경기도 평택시 진위면 하북리 140-11,37.110518,127.062712
41220-00282,제6호 소공원(진위역),경기도 평택시 진위면 하북리 170-1,37.110428,127.062125
41220-00283,진위3일반산단1호 소공원(진위3일반산업단지),경기도 평택시 진위면 마산리 336,37.089220,127.094889
41220-00284,진위3일반산단2호 소공원(진위3일반산업단지),경기도 평택시 진위면 마산리 산52,37.083073,127.098124
41220-00285,칠원 소공원,경기도 평택시 칠원동 58-1 58-3 50 49-6,37.032005,127.100642
41220-00286,풍진 소공원(신설),경기도 평택시 서정동 833,37.067101,127.055243
